title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
Atrocious,Horror,es,17.811,Cinenauta-Grotesque-LSD Audio-Zebra Studios-rABYa Producciones-Unearthed Films-Zeno Pictures-Reality FX Studios (RFX)-Home Movies-Spasmo Video,2018-10-26,7000.0,74.0,79.0,Released,5.5,33.0,David Aboussafy
The Waterboy,Comedy,en,17.806,Touchstone Pictures,1998-11-06,23000000.0,185991646.0,90.0,Released,6.0,1533.0,Adam Sandler
Heist,Action,en,17.803,EFO Films-Silver Plane Films-Mass Hysteria Entertainment-Tri Vision Pictures-Hannibal Classics,2015-11-13,8900000.0,4100000.0,93.0,Released,6.1,818.0,Jeffrey Dean Morgan
Youth,Comedy,it,17.801,Fox Searchlight Pictures-France 2 Cinéma-Eurimages-Indigo Film-Medusa Film-Pathé-Number 9 Films-C-Films-Barbary Films,2015-05-20,13360000.0,2000000.0,125.0,Released,6.9,1808.0,Michael Caine
Exorcist: The Beginning,Horror,en,17.8,Dominion Productions-Morgan Creek Entertainment,2004-08-20,80000000.0,78000586.0,114.0,Released,5.4,752.0,Stellan Skarsgård
The Break-Up,Romance,en,17.789,Universal Pictures-Mosaic Media Group-Wild West Picture Show Productions,2006-06-01,52000000.0,205668210.0,106.0,Released,5.832,2380.0,Jennifer Aniston
The Rite,Drama,en,17.776,New Line Cinema-Contrafilm-Mid Atlantic Films-Hungarian National Film Office-Lazio Film Commission-Rome Film Commission,2011-01-28,37000000.0,96047633.0,114.0,Released,6.088,1837.0,Anthony Hopkins
Rounders,Drama,en,17.768,Miramax-Spanky Pictures,1998-09-11,12000000.0,22921898.0,121.0,Released,7.0,1476.0,Matt Damon
Detroit Rock City,Comedy,en,17.767,Corrupter Production Service Ltd.-New Line Cinema-Takoma Entertainment-Base 12 Productions-KISS Nation,1999-08-13,6500000.0,4217115.0,95.0,Released,6.7,384.0,Giuseppe Andrews
Clerks II,Comedy,en,17.766,View Askew Productions-The Weinstein Company,2006-07-21,5000000.0,26888376.0,97.0,Released,6.9,1128.0,Brian O'Halloran
To Catch a Thief,Crime,en,17.765,Paramount,1955-08-03,2500000.0,8750000.0,107.0,Released,7.3,1249.0,Cary Grant
Sunset Boulevard,Drama,en,17.765,Paramount,1950-08-10,1752000.0,5000000.0,110.0,Released,8.367,2165.0,William Holden
Killing Me Softly,Thriller,en,17.763,The Montecito Picture Company-Noelle Entertainment Limited,2002-05-10,25000000.0,7775138.0,100.0,Released,5.5,240.0,Heather Graham
The Graduate,Comedy,en,17.737,Lawrence Turman Films Inc.-AVCO Embassy Pictures,1967-12-21,3000000.0,104945305.0,106.0,Released,7.7,2861.0,Anne Bancroft
T2 Trainspotting,Drama,en,17.736,Creative Scotland-DNA Films-TriStar Pictures-Decibel Films-Film4 Productions-Cloud Eight Films,2017-01-27,18000000.0,42067430.0,117.0,Released,6.951,2830.0,Ewan McGregor
"Aguirre, the Wrath of God",History,de,17.73,Werner Herzog Filmproduktion-HR,1972-12-29,370000.0,37041.0,95.0,Released,7.5,1056.0,Klaus Kinski
Soldier,Science Fiction,en,17.721,Impact Pictures-Jerry Weintraub Productions-Morgan Creek Entertainment-Warner Bros. Pictures,1998-10-23,75000000.0,14594226.0,99.0,Released,6.4,779.0,Kurt Russell
The American,Crime,en,17.717,Smoke House Pictures-This Is That Productions-Focus Features-Twins Financing-Greenlit Rights,2010-08-31,20000000.0,67876281.0,104.0,Released,5.9,1167.0,George Clooney
When a Stranger Calls,Horror,en,17.711,Davis Entertainment-Screen Gems,2006-02-03,15000000.0,67062123.0,87.0,Released,5.8,916.0,Camilla Belle
To Kill a Mockingbird,Drama,en,17.71,Pakula-Mulligan-Brentwood Productions,1962-12-20,2000000.0,13129846.0,129.0,Released,8.014,2226.0,Gregory Peck
Maximum Risk,Action,en,17.709,Columbia Pictures-Roger Birnbaum Productions-Moshe Diamant Production,1996-09-13,25000000.0,51702483.0,100.0,Released,5.6,387.0,Jean
Dracula,Horror,en,17.708,Hammer Film Productions,1958-05-22,104880.0,3500000.0,82.0,Released,7.2,549.0,Peter Cushing
Fun with Dick and Jane,Comedy,en,17.703,Columbia Pictures-Imagine Entertainment-JC 23 Entertainment,2005-12-21,100000000.0,202026112.0,90.0,Released,6.2,2090.0,Jim Carrey
A Fish Called Wanda,Comedy,en,17.701,Metro-Goldwyn-Mayer-Prominent Features-Fish Productions,1988-07-15,7500000.0,62493712.0,109.0,Released,7.2,1828.0,Jamie Lee Curtis
Star Trek: Insurrection,Science Fiction,en,17.688,Paramount-Digital Image Associates,1998-12-11,70000000.0,118000000.0,103.0,Released,6.4,991.0,Patrick Stewart
The Fall,Adventure,en,17.688,Absolute Entertainment-Googly Films-Deep Films-Tree Top Films Inc.-RadicalMedia,2006-01-01,30000000.0,3669465.0,117.0,Released,7.597,1086.0,Lee Pace
Midnight Cowboy,Drama,en,17.688,Florin Productions-Jerome Hellman Productions-United Artists,1969-05-25,3600000.0,44785053.0,113.0,Released,7.5,1115.0,Jon Voight
Much Ado About Nothing,Drama,en,17.686,Renaissance Films-BBC Film-American Playhouse,1993-05-07,11000000.0,22551000.0,111.0,Released,7.0,613.0,Emma Thompson
Katy Perry: Part of Me,Documentary,en,17.683,Paramount-Imagine Entertainment-MTV Films-Insurge Pictures,2012-06-28,12000000.0,32726956.0,93.0,Released,7.1,251.0,Katy Perry
Brazil,Comedy,en,17.67,Embassy International Pictures,1985-02-20,15000000.0,9900000.0,143.0,Released,7.7,2888.0,Jonathan Pryce
Moonrise Kingdom,Comedy,en,17.664,Scott Rudin Productions-Indian Paintbrush-Focus Features-American Empirical Pictures,2012-05-16,16000000.0,68263166.0,94.0,Released,7.688,5222.0,Jared Gilman
Jaws 3-D,Thriller,en,17.663,MCA  Theatricals-Universal Pictures-Alan Landsburg Productions,1983-07-22,20500000.0,87987055.0,99.0,Released,4.4,1068.0,Dennis Quaid
Stomp the Yard,Drama,en,17.662,Rainforest Entertainment-Screen Gems,2007-05-16,13000000.0,75511123.0,114.0,Released,6.911,349.0,Columbus Short
Bangkok Dangerous,Action,en,17.655,Virtual Studios-Saturn Films-Blue Star Pictures-Living Films-Bangkok Dangerous-Initial Entertainment Group-Lionsgate,2001-09-22,45000000.0,42487390.0,99.0,Released,5.2,938.0,Nicolas Cage
House,Comedy,en,17.653,New World Pictures,1986-02-27,3000000.0,19444631.0,93.0,Released,6.1,454.0,William Katt
Another Round,Comedy,da,17.647,Zentropa Entertainments-Film i Väst-Zentropa International Sweden-Topkapi Films-Zentropa International Netherlands,2020-09-24,5150000.0,21700000.0,117.0,Released,7.68,2451.0,Mads Mikkelsen
Cry Macho,Drama,en,17.645,Malpaso Productions-Warner Bros. Pictures-Albert S. Ruddy Productions,2021-09-16,33000000.0,16481544.0,104.0,Released,6.0,803.0,Clint Eastwood
The House Bunny,Romance,en,17.641,Alta Loma Entertainment-Columbia Pictures-Relativity Media-Happy Madison Productions,2008-08-22,25000000.0,70442940.0,97.0,Released,5.659,1711.0,Anna Faris
U Turn,Thriller,en,17.639,Illusion Entertainment Group-Phoenix Pictures-Clyde Is Hungry Films-Canal+ Droits Audiovisuels,1997-10-03,19000000.0,6682098.0,125.0,Released,6.6,575.0,Sean Penn
Three Kings,Action,en,17.634,Village Roadshow Pictures-Atlas Entertainment-Village-A.M. Partnership-Coast Ridge-Junger Witt Productions,1999-09-27,75000000.0,108000000.0,114.0,Released,6.641,1776.0,George Clooney
Pale Rider,Western,en,17.627,Warner Bros. Pictures-Malpaso Productions,1985-06-28,6900000.0,41410568.0,115.0,Released,7.2,882.0,Clint Eastwood
The Canterville Ghost,Animation,en,17.627,Arc Productions-Melmoth Films-Sprout Pictures-D’Arblay Films-Dorado Media and Capital-Align-Space Age Films-Toonz Media Group,2023-09-22,10000000.0,2000000.0,89.0,Released,6.2,9.0,Stephen Fry
Curse of the Golden Flower,Action,zh,17.623,Sony Pictures Classics-Beijing New Picture Film Co. Ltd.-Film Partner International-Focus Features-EDKO Films-Elite Group Enterprises,2006-12-14,45000000.0,78568977.0,114.0,Released,6.764,621.0,Chow Yun
Spencer,Drama,en,17.62,FilmNation Entertainment-Komplizen Film-Shoebox Films-Fabula-Fabula,2021-11-04,18000000.0,14000000.0,117.0,Released,6.901,1369.0,Kristen Stewart
Camp X-Ray,Drama,en,17.617,Gotham Group-Upload Films-GNK Productions-Rough House Pictures-Young Gang,2014-10-17,1000000.0,59744.0,117.0,Released,6.7,897.0,Kristen Stewart
The Spectacular Now,Comedy,en,17.615,21 Laps Entertainment-Andrew Lauren Productions-Global Produce,2013-08-02,2500000.0,6854611.0,95.0,Released,6.6,2577.0,Miles Teller
Doraemon: Nobita and the Tin Labyrinth,Adventure,ja,17.612,Asatsu-DK-Shin-Ei Animation-Shogakukan Production-TV Asahi,1993-03-06,4000000.0,14800000.0,97.0,Released,7.143,28.0,Noriko Ohara
Blue Story,Crime,en,17.61,Paramount-BBC Film-Joi Productions,2019-11-22,1600000.0,5750000.0,91.0,Released,7.3,172.0,Stephen Odubola
Next Friday,Comedy,en,17.608,New Line Cinema,2000-01-12,11000000.0,59827328.0,98.0,Released,6.5,475.0,Ice Cube
Judas and the Black Messiah,Drama,en,17.605,MACRO-Bron Studios-Participant-Proximity Media-Warner Bros. Pictures,2021-02-12,26000000.0,6416063.0,126.0,Released,7.374,1216.0,Lakeith Stanfield
Red Eye,Thriller,en,17.603,DreamWorks Pictures-Craven-Maddalena Films-BenderSpink,2005-08-19,26000000.0,57891803.0,85.0,Released,6.339,1608.0,Rachel McAdams
Reign of Fire,Adventure,en,17.602,The Zanuck Company-Spyglass Entertainment-World 2000 Entertainment-Touchstone Pictures-Tripod Entertainment,2002-07-09,60000000.0,82150183.0,101.0,Released,6.142,1935.0,Christian Bale
Death Sentence,Action,en,17.593,20th Century Fox-Dune Entertainment-Hyde Park Films-Baldwin Entertainment Group-Brass Hat Films,2007-08-31,20000000.0,16974459.0,105.0,Released,6.7,936.0,Kevin Bacon
Transformers: Revenge of the Fallen,Science Fiction,en,17.592,DreamWorks Pictures-Paramount-di Bonaventura Pictures-Tom DeSanto/Don Murphy Production-Ian Bryce Productions,2009-06-19,200000000.0,836300000.0,149.0,Released,6.177,8087.0,Shia LaBeouf
Hot Tub Time Machine,Science Fiction,en,17.591,United Artists-New Crime Productions-Metro-Goldwyn-Mayer,2010-03-26,36000000.0,64780213.0,101.0,Released,6.0,2145.0,John Cusack
Adrift,Thriller,en,17.59,Lakeshore Entertainment-Huayi Brothers Pictures-STX Entertainment-RVK Studios,2018-06-08,35000000.0,59900000.0,96.0,Released,6.9,2352.0,Shailene Woodley
1492: Conquest of Paradise,Action,en,17.587,Paramount-Gaumont-France 3 Cinéma-ABC Pictures-Due West-Cyrkfilms-Ministère de la culture-Spanish Ministry of Culture-Légende Films,1992-10-09,47000000.0,7191399.0,154.0,Released,6.2,773.0,Gérard Depardieu
Fist Fight,Comedy,en,17.583,New Line Cinema-Village Roadshow Pictures-21 Laps Entertainment-Wrigley Pictures-Van Brand,2017-02-16,22000000.0,41087017.0,91.0,Released,6.1,1122.0,Charlie Day
Sleepwalkers,Horror,en,17.575,Columbia Pictures-Victor & Grais Productions-Ion Pictures,1992-04-10,15000000.0,30524763.0,91.0,Released,6.1,482.0,Brian Krause
Agent Cody Banks,Action,en,17.57,Metro-Goldwyn-Mayer-Splendid Pictures-Maverick Films-Dylan Sellers Productions-Madacy Entertainment,2003-03-14,28000000.0,58795814.0,102.0,Released,5.438,956.0,Frankie Muniz
Cradle 2 the Grave,Action,en,17.568,Warner Bros. Pictures-Silver Pictures,2003-02-28,25000000.0,56489558.0,101.0,Released,6.1,772.0,Jet Li
Passenger 57,Action,en,17.566,Warner Bros. Pictures,1992-11-06,15000000.0,44065653.0,84.0,Released,5.9,842.0,Wesley Snipes
Police Academy 4: Citizens on Patrol,Comedy,en,17.554,Warner Bros. Pictures,1987-04-02,17000000.0,76800000.0,88.0,Released,5.48,989.0,Steve Guttenberg
Fire in the Sky,Science Fiction,en,17.553,Paramount,1993-03-12,15000000.0,19885552.0,109.0,Released,6.603,468.0,D.B. Sweeney
Convoy,Action,en,17.548,United Artists-EMI Films,1978-06-27,12000000.0,45000000.0,110.0,Released,6.3,351.0,Kris Kristofferson
Return of the Living Dead Part II,Comedy,en,17.544,Greenfox,1988-01-15,6200000.0,9205924.0,89.0,Released,6.2,448.0,James Karen
Serial (Bad) Weddings 2,Comedy,fr,17.542,TF1 Films Production-Les Films du 24-Les Films du Premier,2019-01-30,18500000.0,87761857.0,99.0,Released,5.9,1141.0,Christian Clavier
Dancer in the Dark,Drama,en,17.53,Fine Line Features-WDR-Constantin Film-Zentropa Entertainments-ARTE France Cinéma-Canal+-DR-SVT Drama-ARTE-Memfis Film-TV 1000 Sverige-France 3 Cinéma-Film i Väst-Angel films-YLE-Film4 Productions-Blind Spot Pictures-VPRO-Liberator Productions-Íslenska kvikmyndasamsteypan-Pain Unlimited GmbH Filmproduktion-Trust Film Svenska-Cinematograph A/S-What Else? B.V-Filmek A/S-Lantia Cinema & Audiovisivi,2000-06-30,12800000.0,40031879.0,141.0,Released,7.9,1513.0,Björk
Magnolia,Drama,en,17.527,New Line Cinema-Ghoulardi Film Company-The Magnolia Project,1999-12-10,37000000.0,48451803.0,189.0,Released,7.7,3034.0,Jeremy Blackman
Just Married,Comedy,en,17.523,Mediastream Dritte Film GmbH & Co. Beteiligungs KG-Robert Simonds Productions-20th Century Fox,2003-01-08,18000000.0,101564935.0,95.0,Released,5.7,1187.0,Ashton Kutcher
Women on the Verge of a Nervous Breakdown,Comedy,es,17.519,El Deseo-Laurenfilm,1988-03-25,700000.0,7179298.0,88.0,Released,7.4,825.0,Carmen Maura
Krampus,Horror,en,17.513,Universal Pictures-Legendary Pictures,2015-11-26,15000000.0,61788393.0,98.0,Released,6.1,1798.0,Adam Scott
A Simple Favor,Crime,en,17.513,Bron Studios-Feigco Entertainment,2018-08-29,20000000.0,97644617.0,117.0,Released,6.6,3731.0,Anna Kendrick
Like Water for Chocolate,Drama,es,17.501,Aviacsa-Cinevista,1992-04-16,2000000.0,21744201.0,105.0,Released,7.3,393.0,Marco Leonardi
Tomcats,Comedy,en,17.496,Columbia Pictures-Revolution Studios-Riche Productions,2001-03-30,11000000.0,23430766.0,95.0,Released,5.1,215.0,Jerry O'Connell
Little Fockers,Comedy,en,17.495,Paramount-DreamWorks Pictures-Universal Pictures-Everyman Pictures-Relativity Media-Tribeca Productions,2010-12-21,100000000.0,310650585.0,98.0,Released,5.6,2912.0,Robert De Niro
Letters to Juliet,Comedy,en,17.492,Summit Entertainment-Applehead Pictures,2010-05-13,30000000.0,82148538.0,105.0,Released,7.0,2628.0,Amanda Seyfried
48 Hrs.,Thriller,en,17.487,Paramount,1982-12-07,12000000.0,78868508.0,96.0,Released,6.7,1225.0,Nick Nolte
Acrimony,Thriller,en,17.484,Tyler Perry Studios,2018-03-30,20000000.0,34764055.0,120.0,Released,6.768,343.0,Taraji P. Henson
Ophelia,Drama,en,17.484,Covert Media-Bobker / Kruger Films-Forthcoming Films-Bert Marcus Film,2019-06-28,12000000.0,242115.0,114.0,Released,7.289,432.0,Daisy Ridley
Summer of 85,Romance,fr,17.483,SCOPE Pictures-Mandarin Production,2020-07-14,6900000.0,3600000.0,101.0,Released,7.4,627.0,Félix Lefebvre
MouseHunt,Comedy,en,17.478,DreamWorks Pictures,1997-12-19,38000000.0,122417389.0,98.0,Released,6.5,1084.0,Nathan Lane
Modern Times,Comedy,en,17.476,Charles Chaplin Productions-United Artists,1936-02-05,1500000.0,1800000.0,87.0,Released,8.302,3284.0,Charlie Chaplin
The Wolf's Call,Thriller,fr,17.474,Pathé-Jouror Productions-Chi-Fou-Mi Productions-Trésor Films,2019-02-20,22400000.0,12652790.0,115.0,Released,7.6,1705.0,François Civil
A Walk in the Clouds,Drama,en,17.472,20th Century Fox-Zucker Brothers Productions,1995-08-11,20000000.0,50012507.0,103.0,Released,7.206,787.0,Keanu Reeves
Casualties of War,Drama,en,17.472,Columbia Pictures,1989-08-18,22500000.0,18671317.0,113.0,Released,7.2,733.0,Michael J. Fox
The Signal,Thriller,en,17.472,Automatik Entertainment-Focus Features-Low Spark Films-Signal Film Group,2014-03-15,4000000.0,2665322.0,97.0,Released,6.0,1473.0,Brenton Thwaites
Agora,Adventure,en,17.463,Himenóptero-Telecinco Cinema-Mod Producciones-Fox International Productions-Canal+ España-ICAA-Focus Features-Hispano Foxfilms S.A.E.,2009-05-17,70000000.0,39041505.0,127.0,Released,6.98,1239.0,Rachel Weisz
Going in Style,Crime,en,17.459,New Line Cinema-Village Roadshow Pictures-Warner Bros. Pictures-De Line Pictures-RatPac Entertainment,2017-04-06,25000000.0,84618541.0,96.0,Released,6.7,2438.0,Morgan Freeman
Young Frankenstein,Comedy,en,17.457,20th Century Fox-Crossbow Productions-Gruskoff/Venture Films-Jouer Limited,1974-12-15,2800000.0,86273333.0,106.0,Released,7.9,2722.0,Gene Wilder
Ooops! Noah Is Gone...,Animation,en,17.454,Skyline Entertainment-Moetion Films-Ulysses Filmproduktion-Fabrique d'images-Grid Animation,2015-03-26,6000000.0,769028.0,85.0,Released,6.3,264.0,Callum Maloney
Blues Brothers 2000,Music,en,17.453,Universal Pictures,1998-02-05,28000000.0,14051384.0,123.0,Released,5.4,572.0,Dan Aykroyd
Cube,Thriller,en,17.45,Cube Libre-Feature Film Project-Harold Greenberg Fund-Odeon Films-Ontario Film Development Corporation-Téléfilm Canada-Viacom Canada,1997-09-09,350000.0,8969065.0,90.0,Released,6.801,4107.0,Nicole de Boer
Equilibrium,Action,en,17.433,Blue Tulip Productions-Dimension Films,2002-12-06,20000000.0,5359645.0,107.0,Released,7.026,3951.0,Christian Bale
Zardoz,Fantasy,en,17.429,John Boorman Productions-20th Century Fox,1974-02-06,1570000.0,1800000.0,105.0,Released,5.949,382.0,Sean Connery
Police Academy: Mission to Moscow,Comedy,en,17.427,Warner Bros. Pictures,1994-06-09,10000000.0,126247.0,83.0,Released,4.554,735.0,George Gaynes
Kung Fu Yoga,Comedy,zh,17.425,Shinework Media-Taihe Entertainment,2017-01-27,65000000.0,254212245.0,107.0,Released,5.8,306.0,Jackie Chan
mid90s,Drama,en,17.421,Scott Rudin Productions-Waypoint Entertainment-A24,2018-10-19,258158.0,6897446.0,86.0,Released,7.5,1304.0,Sunny Suljic
The Good Son,Thriller,en,17.406,20th Century Fox,1993-09-24,17000000.0,60613008.0,87.0,Released,6.8,823.0,Macaulay Culkin
The White Ribbon,Drama,de,17.403,Lucky Red-Wega Film-Les Films du Losange-X Filme Creative Pool,2009-09-24,21555450.0,11652157.0,144.0,Released,7.5,999.0,Christian Friedel
The Deep,Mystery,en,17.402,EMI Films-Casablanca Filmworks-Columbia Pictures,1977-06-17,9000000.0,100000000.0,123.0,Released,6.1,214.0,Robert Shaw
Dragonfly,Thriller,en,17.394,Universal Pictures-Spyglass Entertainment-Shady Acres Entertainment-Gran Via Productions-Buena Vista International-Kalima Productions GmbH & Co. KG-Touchstone Pictures-NDE Productions,2002-02-22,60000000.0,52322400.0,104.0,Released,6.5,738.0,Kevin Costner
Zoom,Family,en,17.388,Columbia Pictures-Sony Pictures-Revolution Studios-Team Todd-Boxing Cat Films,2006-08-11,75600000.0,12506188.0,83.0,Released,5.3,522.0,Tim Allen
Captive State,Science Fiction,en,17.386,DreamWorks Pictures-Amblin Entertainment-Participant-Lightfuse & Gettaway,2019-03-15,25000000.0,8808611.0,110.0,Released,5.6,982.0,John Goodman
Black Rain,Drama,en,17.38,Pegasus Film Partners-Paramount-Jaffe-Lansing,1989-09-22,30000000.0,134212055.0,125.0,Released,6.6,912.0,Michael Douglas
Smokin' Aces,Action,en,17.374,Universal Pictures-StudioCanal-Relativity Media-Scion Films-Working Title Films,2006-12-09,17000000.0,57103895.0,109.0,Released,6.482,1416.0,Ryan Reynolds
Two Lovers,Drama,en,17.369,Tempesta Films-2929 Productions-Wild Bunch,2008-11-19,9800000.0,16303643.0,110.0,Released,6.8,820.0,Joaquin Phoenix
Sisters,Comedy,en,17.368,Little Stranger,2015-12-18,30000000.0,105011053.0,118.0,Released,6.0,1229.0,Amy Poehler
The Neon Demon,Thriller,en,17.36,Amazon Studios-Bold Films-Space Rocket Nation-Gaumont-Wild Bunch-Broad Green Pictures-MEDIA sub-programme of Creative Europe-Det Danske Filminstitut-DR-Italian International Film-KOCH MEDIA SRL-Koch Media-Leone Film Group-Andrea Leone Films-Madman Entertainment-Le Pacte-Icon Film Distribution-Cinéart-Fabula Films-Vertigo Média Kft.-Scanbox Entertainment Production-Tanweer Alliances-PT Amero Mitra Film-Movie Cloud-Leopardo Filmes-Film1-Gutek Film-Europe Film-Midnight Factory,2016-06-08,7000000.0,3377430.0,118.0,Released,6.5,3421.0,Elle Fanning
Spanish Affair,Comedy,es,17.356,Lazona-Kowalski Films-Telecinco Cinema,2014-03-14,3000000.0,78768613.0,98.0,Released,6.69,598.0,Clara Lago
Shaun the Sheep Movie,Family,en,17.356,Aardman-Anton Capital Entertainment-StudioCanal,2015-02-05,25000000.0,106209378.0,85.0,Released,7.003,1289.0,Justin Fletcher
The Omen,Horror,en,17.341,20th Century Fox-Mace Neufeld Productions,1976-06-25,2800000.0,60922980.0,111.0,Released,7.4,1694.0,Gregory Peck
Little Buddha,Drama,en,17.333,Miramax,1993-12-01,35000000.0,4858139.0,140.0,Released,6.3,348.0,Keanu Reeves
Downfall,Drama,de,17.332,NDR-ORF-Degeto Film-EOS Entertainment-WDR-RAI-Constantin Film,2004-09-16,18339750.0,92180910.0,156.0,Released,7.841,3276.0,Bruno Ganz
